	type	population size	Province/State	Country/Region	Lat	Long	1/22/20	1/23/20	1/24/20	1/25/20	1/26/20	1/27/20	1/28/20	1/29/20	1/30/20	1/31/20	2/1/20	2/2/20	2/3/20	2/4/20	2/5/20	2/6/20	2/7/20	2/8/20	2/9/20	2/10/20	2/11/20	2/12/20	2/13/20	2/14/20	2/15/20	2/16/20	2/17/20	2/18/20	2/19/20	2/20/20	2/21/20	2/22/20	2/23/20	2/24/20	2/25/20	2/26/20	2/27/20	2/28/20	2/29/20	3/1/20	3/2/20	3/3/20	3/4/20	3/5/20	3/6/20	3/7/20	3/8/20	3/9/20	3/10/20	3/11/20	3/12/20	3/13/20	3/14/20	3/15/20	3/16/20	3/17/20	3/18/20
36	Confirmed	0	Genova	Italia	44.41149314	8.9326992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	63	92	128	231	274	274	330	378
37	Confirmed	0	Imperia	Italia	43.88570648	8.027850298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	18	32	41	64	78	78	76	101
38	Confirmed	0	La Spezia	Italia	44.10704991	9.8281897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	15	19	26	37	52	60	60	65	83
39	Confirmed	0	Savona	Italia	44.30750461	8.481108654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	18	18	41	0	0	0	0	0	0	0	0	0	38	42	52	62	87	96	96	100	126
40	Confirmed	0	Bergamo	Italia	45.69441368	9.668424528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	20	72	103	110	0	0	0	0	0	0	0	0	0	1472	1815	2136	2368	2864	3416	3760	3993	4305
41	Confirmed	0	Brescia	Italia	45.53993052	10.21910323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	13	14	0	0	0	0	0	0	0	0	0	790	1351	1598	1784	2122	2473	2918	3300	3784
42	Confirmed	0	Como	Italia	45.8099912	9.085159546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	46	77	98	118	154	184	220	256	286
43	Confirmed	0	Cremona	Italia	45.13336675	10.02420865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	57	91	123	136	0	0	0	0	0	0	0	0	0	957	1061	1302	1344	1565	1792	1881	2073	2167
44	Confirmed	0	Lecco	Italia	45.85575781	9.393392246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	113	199	237	287	344	386	440	466
45	Confirmed	0	Lodi	Italia	45.31440693	9.503720769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	128	159	182	237	0	0	0	0	0	0	0	0	0	963	1035	1123	1133	1276	1320	1362	1418	1445
